MP Name,Constituency,State,House,Allocated Amount (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Unspent Amount (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
DHARMENDRA PRADHAN,SAMBALPUR,Odisha,Lok Sabha,147000000.0,9704141.0,6.6,2,116,1.69,137295859.0,31,21,10,
TRIVENDRA SINGH RAWAT,HARDWAR,Uttarakhand,Lok Sabha,147000000.0,9309458.0,6.33,3,41,6.82,137690542.0,16,16,0,
Shri Satnam Singh Sandhu (2024-30),Nominated Rajya Sabha,Chandigarh,Rajya Sabha,147000000.0,9104144.0,6.19,4,20,16.67,137895856.0,59,58,1,
Shri Devendra Pratap Singh (2024-30),Sitting Rajya Sabha,Chhattisgarh,Rajya Sabha,170837637.76,8275468.0,4.84,3,14,17.65,162562169.76,14,14,0,
Shri Subhasish Khuntia (2024-30),Sitting Rajya Sabha,Odisha,Rajya Sabha,147000000.0,5516064.0,3.75,3,219,1.35,141483936.0,31,31,0,
Mohamed Haneefa,LADAKH,Ladakh,Lok Sabha,161114542.0,6009392.0,3.73,0,55,0.0,155105150.0,8,8,0,
PARIMAL SUKLABAIDYA,SILCHAR,Assam,Lok Sabha,148300157.11,5386762.0,3.63,0,153,0.0,142913395.11,10,10,0,
Shyamkumar,RAMTEK,Maharashtra,Lok Sabha,147000000.0,5141086.0,3.5,1,34,2.86,141858914.0,6,5,1,
Chandra Prakash Joshi,CHITTORGARH,Rajasthan,Lok Sabha,147000000.0,4660559.0,3.17,10,186,5.1,142339441.0,41,41,0,
Shri B. Parthasaradhi Reddy (2022-28),Sitting Rajya Sabha,Telangana,Rajya Sabha,244365104.0,5945528.0,2.43,6,19,24.0,238419576.0,7,7,0,
Smt. Renuka Chowdhury (2024-30),Sitting Rajya Sabha,Telangana,Rajya Sabha,147000000.0,3061296.0,2.08,0,105,0.0,143938704.0,7,5,2,
RUDRA NARAYAN PANY,DHENKANAL,Odisha,Lok Sabha,155013957.11,3039057.0,1.96,0,79,0.0,151974900.11,22,22,0,
